Set No.,Tune No.,Tune Title,Learning Video,Genre,Added,Rhythm,Key,Mode,Part
124,312,Banks of Lough Gowna,https://youtu.be/hdOoapPv-GY,Irish,16/11/2023,Double Jig,B,minor,2
124,313,Tom Busby's,https://youtu.be/GMKkGb3L7vI,Irish,17/11/2023,Double Jig,E,minor,2
125,314,Swinging on the Gate,https://youtu.be/feinKqajQLk,Irish,19/11/2023,Double Reel,G,Major,2
125,315,Cameronian,https://youtu.be/vh_Y2STrmH8,Irish,24/11/2023,Double Reel,D,Major,2
125,316,Down the Broom,https://youtu.be/crLw9M3yLHo,Irish,26/11/2023,Double Reel,A,minor,2
126,317,Garret Barry's Jig,https://youtu.be/fAIkS-5J5oI,Irish,9/12/2023,Double Jig,D,Mixolydian,2
126,318,Tatter Jack Walsh,https://youtu.be/97peoa8sopg,Irish,10/12/2023,Double Jig,D,Major,2
127,319,McGivney's Hornpipe ,https://youtu.be/20WnuTIDfrY,Irish,13/12/2023,Hornpipe,E,minor,2
127,320,From Galway to Dublin,https://youtu.be/018bIgiaGhg,Irish,14/12/2023,Hornpipe,E,minor,2
128,321,Terry Teehan's Polka,https://youtu.be/vv8EyKLUE_U,Irish,17/12/2023,Polka,G,Major,2
128,322,John Egan's Polka,https://youtu.be/AsRWRMSI7Gg,Irish,18/12/2023,Polka,D,Major,2
128,323,John Walsh's Polka,https://youtu.be/gO3rwKwfXDo,Irish,19/12/2023,Polka,G,Major,2
129,324,Dumphy's Hornpipe,https://youtu.be/QTXZB3aS08I,Irish,21/12/2023,Hornpipe,G,Major,2
129,325,The Tailor's Twist,https://youtu.be/V6PL9pp3wz0,Irish,22/12/2023,Hornpipe,D,Major,2
130,326,The Tar road to Sligo,https://youtu.be/SY1PYTB_VQc,Irish,10/1/2024,Double Jig,B,minor,2
130,327,Paddy Clancy's,https://youtu.be/bjdmrWKoR5M,Irish,10/1/2024,Double Jig,D,Major,2
131,328,The Road to Rio,https://youtu.be/ZSBfegfAQKA,Irish,12/1/2024,Double Reel,G,Major,2
131,329,The Fermoy lasses,https://youtu.be/DdaEmFAttic,Irish,13/1/2024,Double Reel,E,minor,2
131,330,The Shaskeen,https://youtu.be/PMK3LK67IdU,Irish,3/1/1900,Double Reel,G,Major,2
132,331,John Micky's Slide,https://youtu.be/1iItjl-bA5U,Irish,16/1/2024,Slide,D,Major,2
132,332,Worn Torn Petticoat,https://youtu.be/CWKPKb-NE2c,Irish,17/1/2024,Slide,A,Dorian,2
132,333,Dingle Regatta,https://youtu.be/LeoHi5qgzjM,Irish,18/1/2024,Slide,G,Major,3
133,334,John Brosnan's Polka,https://youtu.be/ZfTDxfHZX1Y,Irish,20/1/2024,Polka,G,Major,3
133,335,Toureendarby,https://youtu.be/VbkReQfq4kU,Irish,21/1/2024,Polka,A,Dorian,2
133,336,Pádraig O'Keeffe's,https://youtu.be/KVF82wde_z4?si=_wDqxihF3bfLEan5,Irish,22/1/2024,Polka,A,Major,2
134,337,Templehouse,https://youtu.be/BohnngGPaxU,Irish,23/1/2024,Single Reel,E,minor,2
134,338,The Daily Maid,https://youtu.be/J2Y0y-Q1K6c,Irish,24/1/2024,Single Reel,D,Major,2
134,339,The Crooked Road to Dublin,https://youtu.be/m_43vdBGrMw,Irish,25/1/2024,Single Reel,G,Major,2
,340,Ar Éirinn ní Neosfainn Cé Hí,https://youtu.be/9U_O3Be4kl4,Irish,5/2/2024,Slow Air,G,Major,2
135,341,Blackthorn Stick,https://youtu.be/mjLOc3J1_3Y,Irish,6/2/2024,Double Jig,G,Major,2
135,342,Condons Frolics,https://youtu.be/3UAW4HMLCOw,Irish,7/2/2024,Double Jig,E,Dorian,2
135,343,Scotsman over the Border,https://youtu.be/S9ihN9nB0qc,Irish,8/2/2024,Double Jig,D,Major,2
136,334,Drops of Brandy,https://youtu.be/a_7lwlmx-rY,Irish,12/2/2024,Slip Jig,D,Major,2
136,335,Elizabeth Kelly's,https://youtu.be/zQYkmt0jHy4,Irish,13/2/2024,Slip Jig,D,Mixolydian,2
137,346,The Maids of Selma,https://youtu.be/SK3pt9GsbW0,Irish,17/2/2024,Double Jig,E,minor,2
137,347,Up in the Air,https://youtu.be/yfS2Uepzm8c,Irish,18/2/2024,Double Jig,B,minor,2
137,348,The Mouse in the Kitchen ,https://youtu.be/_jHi6vyopn0,Irish,20/2/2024,Double Jig,A,Major,2
139,349,The Keel Row,https://youtu.be/5TZZm9AxJdU,Irish,22/2/2024,Fling,G,Major,2
139,350,Johnny will you marry me,https://youtu.be/c9BJD8pu3BU,Irish,23/2/2024,Fling,G,Major,2
140,351,The Killavil Reel,https://youtu.be/QNHqsTd7JOQ,Irish,25/2/2024,Double Reel,D,Major,2
140,352,Sweeney's Buttermilk Mary,https://youtu.be/Sd8qs4FBJNM,Irish,26/2/2024,Double Reel,B,minor,2
140,353,Reconciliation,https://youtu.be/_KiEhHvbivs,Irish,27/2/2024,Double Reel,A,Major,2
141,354,Jim Keeffe's,https://youtu.be/jyy3HbXJtAU,Irish,1/3/2024,Polka,D,Major,2
141,355,The Newmarket,https://youtu.be/W-xxrDZ-bW8,Irish,2/3/2024,Polka,A,Major,2
142,356,The Swallowtail Jig,https://youtu.be/pvLvX5qmXXY,Irish,5/3/2024,Double Jig,E,minor,2
